ques,factoid_ans,target-1,target-2,target-3,target-4
how many dead in flood ?,two,two are dead in the flood,Two people died in the flood .,,
what people were the detectives in a major cop drama ?,warren kole and michael ealy,warren kole and michael ealy were the detectives in a major cop drama .,The detectives in a major cop drama were Warren Kole and Michael Ealy .,,
what is the number of the employees ?,"67,100","the number of the employees is 67,100 .",,,
where does the team rank ?,second from the bottom of the german bundesliga,the team ranks second from the bottom of the german bundesliga .,The team does rank second from the bottom of the German bundesliga .,,
where is reinhold messner from ?,italian,reinhold messner is italian .,reinhold messner is from italy .,,
who in isaac toussie 's family might have been responsible for him getting pardoned ?,father,isaac toussie 's father might have been responsible for him getting pardoned,,,
who was captured monday 8 miles from prison ?,three inmates,three inmates were captured on monday 8 miles from prison .,,,
"who said "" being in eternal city gave film feeling it could n't get on back lot "" ?",tom hanks,"tom hanks said "" being in eternal city gave film feeling it could n't get on back lot .","Tom Hanks said "" being in the eternal city gave the film the feeling it ca n't get on back lot "" .",,
how did corey smith and marquis cooper go missing ?,boat,corey smith and marquis cooper went missing on a boat .,Corey Smith and Marquis Cooper went missing by boat .,,
where did natasha richardson sail ?,caribbean,natasha richardson sailed in the caribbean .,,,
where can the device currently only be used ?,at & t. a,the device can currently only be used at & t. a .,at & t. a can the device currently only be used .,,
who scores only goal to give palermo a 1 - 0 victory over livorno ?,fabrizio miccoli,fabrizio miccoli scores only goal to give palermo a 1 - 0 victory over livorno .,,,
what did alvaro uribe say ?,he 's releasing the information to help the government 's fight against fraud,alvaro uribe said he 's releasing the information to help the government 's fight against fraud .,,,
when did edo become tokyo ?,1868,edo became tokyo in 1868 .,,,
what was the problem ?,"hundreds of poor , rural and indigenous pregnant women are dying because they are being denied the same health services as other women in the country","the problem was that hundreds of poor , rural and indigenous pregnant women are dying because they are being denied the same health services as other women in the country .","The problem is hundreds of poor , rural and indigenous pregnant women are dying because they are being denied the same health services as other women in the country .",,
what is the court determining ?,decision will determine whether politically charged documentaries can be regulated by the government in the same way as traditional campaign commercials,the court will determine whether politically charged documentaries can be regulated by the government in the same way as traditional campaign commercials .,,,
what did the us stafe department say that cuba rejected ?,u.s. assistance,the us stafe department say that cuba rejected u.s. assistance .,The US stafe department said that Cuba rejected U.S. assistance .,,
